year,politicians_pct,government_ministers_pct,source_url_or_document,notes
2024,11,15,"https://www.ipsos.com/sites/default/files/ct/news/documents/2024-11/Veracity%20index%202024_v1_.pdf","TIER 1 (primary). ""The five least trusted professions, 2024"" slide, self-consistent rank-ordered values. CAUTION: this same document's ""2023 score"" comparator column appeared misaligned when checked against the known-correct 2023 values (9%/10%) above - the comparator column is NOT reliable evidence here, only the document's own 2024 headline slide is used for this row."
2025,9,14,"https://www.ipsos.com/sites/default/files/ct/news/documents/2025-12/Veracity%20index%202025_Charts.pdf","TIER 1 (triple-primary, added 2 Sep 2026). ""Politicians generally 9%"" / ""Government Ministers 14%"" on the 2025 ""All professions"" overview slide; independently confirmed on the same document's ""2024-2025 change"" slide and the Highs-and-Lows chart (""2023 & 2025: Politicians Low - 9%""). Same document's ""2024 score"" comparator column reads 11%/15% for Politicians/Govt Ministers, matching the already-confirmed 2024 row exactly - cross-validated, unlike the 2024 deck's unreliable 2023 comparator column."
1984,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1985,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1986,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1987,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1988,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1989,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1990,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1991,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1992,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1994,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1995,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1996,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1997,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
1998,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2000,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2001,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2002,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2003,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2004,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2005,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2006,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2007,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2010,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2011,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2012,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
2013,NA,NA,NOT FOUND,"No document located with this year as either a primary reading or an explicit Highs-and-Lows label."
