year,department,change_type,notes,source,source_detail,verification
2010,"Department for Children, Schools and Families -> Department for Education",renamed,"DCSF renamed Department for Education, 12 May 2010, after the general election. MERGED 16 Aug 2026: previously TWO rows (DCSF abolished + DfE created). gov.uk classifies DCSF as changed_name -> DfE, the same status as MHCLG->DLUHC (2021) and DLUHC->MHCLG (2024), each counted once. Counting it twice was inconsistent with the file's own convention for renames.",IfG,"gov.uk organisations register (govuk_closed_status = changed_name, superseded_by = Department for Education) for the NATURE of the change; date 12 May 2010 from concurring secondary sources",verified 2026-08-16 (nature primary; date secondary)
2016,Dept for Business Energy and Industrial Strategy (BEIS),created,Merger of BIS and DECC,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2016,Department for International Trade (DIT),created,New department for post-Brexit trade negotiations,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2016,Dept for Exiting the European Union (DExEU),created,Created to negotiate UK withdrawal from EU,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2017,DCMS,renamed,Became Dept for Digital Culture Media and Sport; digital functions added,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2018,Ministry of Housing Communities and Local Govt (MHCLG),created,Replaced DCLG,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2020,DExEU,abolished,Wound up when the withdrawal agreement took effect; functions to Cabinet Office. CORRECTED 16 Aug 2026: was dated 2019; gov.uk closed_at = 2020-01-31.,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2020,Department for International Development (DFID),abolished,Merged with FCO to form FCDO,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2020,Foreign Commonwealth and Development Office (FCDO),created,Merger of FCO and DFID,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2021,MHCLG,renamed,Became Dept for Levelling Up Housing and Communities (DLUHC),IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2023,BEIS,abolished,Split into three departments (DBT + DESNZ + DSIT),IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2023,Dept for International Trade (DIT),abolished,Merged with business functions of BEIS to form DBT,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2023,Department for Business and Trade (DBT),created,DIT + business functions from BEIS,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2023,Dept for Energy Security and Net Zero (DESNZ),created,Energy functions from BEIS,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2023,Dept for Science Innovation and Technology (DSIT),created,Digital from DCMS + science functions,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2023,DCMS,renamed,Reverted; digital functions transferred to DSIT,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
2024,DLUHC,renamed,Reverted to MHCLG,IfG,"gov.uk organisations register (api/organisations), details.closed_at",verified 2026-08-16
